"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"240";2;5;7;9;11;11;11;11;11;11;11
"241";2;5;7;9;10;13;14;17;19;21;22
"242";2;5;7;9;10;13;14;17;19;21;23
"243";2;5;7;9;10;13;14;17;19;21;23
"244";2;5;7;9;10;13;14;17;19;21;23
"245";2;5;7;9;10;13;14;17;19;21;22
"246";2;5;7;9;10;13;14;17;19;21;22
"247";2;5;7;9;11;11;11;11;11;11;11
"248";2;5;7;9;10;13;14;17;19;21;23
"249";2;5;7;9;11;11;11;11;11;11;11
"250";2;5;7;9;10;13;14;17;19;21;22
"251";2;5;7;9;10;13;14;17;19;21;23
"252";2;5;7;9;11;11;11;11;11;11;11
"253";2;5;7;9;10;13;14;17;19;21;22
"254";2;5;7;9;10;13;14;17;19;21;22
"255";2;5;7;9;11;11;11;11;11;11;11
"256";2;5;7;9;10;13;14;17;19;21;22
"257";2;5;7;9;10;13;14;17;19;21;22
"258";2;5;7;9;10;13;14;17;19;21;22
"259";2;5;7;9;10;13;14;17;19;21;22
"260";2;5;7;9;10;13;14;17;19;21;22
"261";2;5;7;9;10;13;14;17;19;21;22
"262";2;5;7;9;11;11;11;11;11;11;11
"263";2;5;7;9;10;13;14;17;19;21;22
"264";2;5;7;9;10;13;14;17;19;21;23
"265";2;5;7;9;10;13;14;17;19;21;23
"266";2;5;7;9;10;13;14;17;19;21;22
"267";2;5;7;9;11;11;11;11;11;11;11
"268";2;5;7;9;11;11;11;11;11;11;11
"269";2;5;7;9;10;13;14;17;19;21;22
"270";2;5;7;9;11;11;11;11;11;11;11
"271";2;5;7;9;11;11;11;11;11;11;11
"272";2;5;7;9;11;11;11;11;11;11;11
"273";2;5;7;9;11;11;11;11;11;11;11
"274";2;5;7;9;10;13;14;17;19;21;22
"275";2;5;7;9;10;13;14;17;19;21;22
"276";2;5;7;9;11;11;11;11;11;11;11
"277";2;5;7;9;11;11;11;11;11;11;11
"278";2;5;7;9;11;11;11;11;11;11;11
"279";2;5;7;9;11;11;11;11;11;11;11
"280";2;5;7;9;11;11;11;11;11;11;11
"281";2;5;7;9;11;11;11;11;11;11;11
"282";2;5;7;9;11;11;11;11;11;11;11
"283";2;5;7;9;11;11;11;11;11;11;11
"284";2;5;7;9;11;11;11;11;11;11;11
"285";2;5;7;9;11;11;11;11;11;11;11
"286";2;5;7;9;10;13;14;17;19;21;23
"287";2;5;7;9;10;13;14;17;19;21;22
"288";2;5;7;9;11;11;11;11;11;11;11
"289";2;5;7;9;11;11;11;11;11;11;11
"290";2;5;7;9;11;11;11;11;11;11;11
"291";2;5;7;9;11;11;11;11;11;11;11
"292";2;5;7;9;11;11;11;11;11;11;11
"293";2;5;7;9;11;11;11;11;11;11;11
"294";2;5;7;9;11;11;11;11;11;11;11
"295";2;5;7;9;11;11;11;11;11;11;11
"296";2;5;7;9;11;11;11;11;11;11;11
"297";2;5;7;9;11;11;11;11;11;11;11
"298";2;5;7;9;11;11;11;11;11;11;11
"299";2;5;7;9;11;11;11;11;11;11;11
"300";2;5;7;9;10;13;14;17;19;21;22
"301";2;5;7;9;10;13;14;17;19;21;22
"302";2;5;7;9;10;13;14;17;19;21;22
"303";2;5;7;9;10;13;14;17;19;21;23
"304";2;5;7;9;10;13;14;17;19;21;22
"305";2;5;7;9;10;13;14;17;19;21;22
"306";2;5;7;9;10;13;14;17;19;21;22
"307";2;5;7;9;10;13;14;17;19;21;22
"308";2;5;7;9;10;13;14;17;19;21;22
"309";2;5;7;9;10;13;14;17;19;21;22
"310";2;5;7;9;10;13;14;17;19;21;22
"311";2;5;7;9;10;13;14;17;19;20;20
"312";2;5;7;9;10;13;14;17;19;21;22
"313";2;5;7;9;10;13;14;17;19;21;22
"314";2;5;7;9;10;13;14;17;19;21;22
"315";2;5;7;9;10;13;14;17;19;21;23
"316";2;5;7;9;11;11;11;11;11;11;11
"317";2;5;7;9;11;11;11;11;11;11;11
"318";2;5;7;9;11;11;11;11;11;11;11
"319";2;5;7;9;11;11;11;11;11;11;11
"320";2;5;7;9;11;11;11;11;11;11;11
"321";2;5;7;9;11;11;11;11;11;11;11
"322";2;5;7;9;10;13;14;17;19;21;23
"323";2;5;7;9;11;11;11;11;11;11;11
"324";2;5;7;9;10;13;14;17;19;21;23
"325";2;5;7;9;11;11;11;11;11;11;11
"326";2;5;7;9;11;11;11;11;11;11;11
"327";2;5;7;9;11;11;11;11;11;11;11
"328";2;5;7;9;10;13;14;17;19;21;23
"329";2;5;7;9;10;13;14;17;19;21;23
"330";2;5;7;9;10;13;14;17;19;21;23
"331";2;5;7;9;10;13;14;17;19;21;23
"332";2;5;7;9;10;13;14;17;19;21;23
"333";2;5;7;9;10;13;14;17;19;21;23
"334";2;5;7;9;10;13;14;17;19;21;23
"335";2;5;7;9;10;13;14;17;19;21;22
"336";2;5;7;9;10;13;14;17;19;21;23
"337";2;5;7;9;11;11;11;11;11;11;11
"338";2;5;7;9;10;13;14;17;19;21;22
"339";2;5;7;9;11;11;11;11;11;11;11
"340";2;5;7;9;11;11;11;11;11;11;11
"341";2;5;7;9;10;13;14;17;19;21;22
"342";2;5;7;9;10;13;14;17;19;21;22
"343";2;5;7;9;11;11;11;11;11;11;11
"344";2;5;7;9;10;13;14;17;19;21;23
"345";2;5;7;9;11;11;11;11;11;11;11
"346";2;5;7;9;11;11;11;11;11;11;11
"347";2;5;7;9;11;11;11;11;11;11;11
"348";2;5;7;9;11;11;11;11;11;11;11
"349";2;5;7;9;10;13;14;17;19;21;23
"350";2;5;7;9;11;11;11;11;11;11;11
"351";2;5;7;9;10;13;14;17;19;21;22
"352";2;5;7;9;11;11;11;11;11;11;11
"353";2;5;7;9;11;11;11;11;11;11;11
"354";2;5;7;9;11;11;11;11;11;11;11
"355";2;5;7;9;11;11;11;11;11;11;11
"356";2;5;7;9;11;11;11;11;11;11;11
"357";2;5;7;9;10;13;14;17;19;21;22
"358";2;5;7;9;11;11;11;11;11;11;11
"359";2;5;7;9;10;13;14;17;19;21;22
"360";2;5;7;9;10;13;14;17;19;21;22
"361";2;5;7;9;10;13;14;17;19;21;22
"362";2;5;7;9;10;13;14;17;19;21;22
"363";2;5;7;9;11;11;11;11;11;11;11
"364";2;5;7;9;11;11;11;11;11;11;11
"365";2;5;7;9;11;11;11;11;11;11;11
"366";2;5;7;9;11;11;11;11;11;11;11
"367";2;5;7;9;11;11;11;11;11;11;11
"368";2;5;7;9;10;13;14;17;19;21;22
"369";2;5;7;9;11;11;11;11;11;11;11
"370";2;5;7;9;11;11;11;11;11;11;11
"371";2;5;7;9;10;13;14;17;19;21;22
"372";2;5;7;9;11;11;11;11;11;11;11
"373";2;5;7;9;11;11;11;11;11;11;11
"374";2;5;7;9;11;11;11;11;11;11;11
"375";2;5;7;9;11;11;11;11;11;11;11
"376";2;5;7;9;11;11;11;11;11;11;11
"377";2;5;7;9;11;11;11;11;11;11;11
"378";2;5;7;9;10;13;14;17;19;21;23
"379";2;5;7;9;10;13;14;17;19;21;23
"380";2;5;7;9;10;13;14;17;19;21;23
"381";2;5;7;9;10;13;14;17;19;21;22
"382";2;5;7;9;10;13;14;17;19;21;22
"383";2;5;7;9;11;11;11;11;11;11;11
"384";2;5;7;9;11;11;11;11;11;11;11
"385";2;5;7;9;11;11;11;11;11;11;11
"386";2;5;7;9;11;11;11;11;11;11;11
"387";2;5;7;9;11;11;11;11;11;11;11
"388";2;5;7;9;11;11;11;11;11;11;11
"389";2;5;7;9;11;11;11;11;11;11;11
"390";2;5;7;9;10;13;14;17;19;21;23
"391";2;5;7;9;11;11;11;11;11;11;11
"392";2;5;7;9;10;13;14;17;19;21;22
"393";2;5;7;9;11;11;11;11;11;11;11
"394";2;5;7;9;11;11;11;11;11;11;11
"395";2;5;7;9;11;11;11;11;11;11;11
"396";2;5;7;9;10;13;14;17;19;21;22
"397";2;5;7;9;10;13;14;17;19;21;23
"398";2;5;7;9;10;13;14;17;19;21;22
"399";2;5;7;9;10;13;14;17;19;21;23
