"";"classe 1";"classe 2";"classe 3"
"completely";0,474;-4,383;2,109
"operate";48,753;-33,3;-4,154
"nuclear";81,995;-41,033;-14,53
"incentive";0,053;-16,435;16,99
"moment";-6,074;16,145;-2,04
"generation";-24,308;28,878;0,001
"field";95,767;-36,296;-25,939
"trade";0,903;-17,88;11,939
"party";-138,054;-12,595;316,961
"ahead";1,93;-0,047;-2
"framework";-0,111;-0,013;0,267
"difference";-1,244;0,392;0,417
"skill";30,815;-1,133;-29,593
"environment";41,311;-16,847;-10,144
"save";36,472;-14,411;-9,353
"manufacture";129,465;-57,712;-27,878
"stand";-50,543;3,504;41,156
"similar";8,947;-15,849;0,582
"goal";33,707;-23,052;-2,861
"benefit";0,004;-21,529;24,529
"form";12,297;-14,322;-0,004
"york";-78,497;82,583;0,452
"decide";-14,649;8,595;1,872
"launch";72,31;-29,611;-17,654
"internet";94,447;-38,426;-23,269
"advance";111,776;-43,19;-29,526
"conversation";-61,398;39,631;6,165
"mission";19,367;-7,321;-5,264
"front";-2,021;0,611;0,708
"choice";-31,977;6,38;15,829
"age";-11,715;72,328;-26,56
"race";-50,756;3,207;42,522
"google";69,502;-17,391;-28,964
"average";1,177;0;-1,718
"pull";1,937;-0,005;-2,495
"piece";19,216;-7,769;-4,776
"fire";-0,635;-7,824;15,829
"cheap";147,014;-57,34;-38,359
"agency";-12,224;-22,986;87,424
"phone";35,07;-5,825;-19,517
"brain";51,617;-13,553;-20,639
"street";-96,986;3,859;91,552
"progress";-0,597;-0,861;3,698
"india";-3,499;-0,001;5,083
"god";-5,615;8,407;-0,108
"suppose";-7,025;1,027;4,202
"grind";35,498;-17,702;-6,33
"global";58,244;-25,412;-12,963
"massive";54,907;-38,04;-4,476
"charge";-6,028;-21,608;63,288
"board";-3,446;6,945;-0,425
"tie";-18,441;15,48;0,699
"security";2,625;-38,93;23,417
"competition";-1,328;-9,029;21,401
"black";-70,026;43,252;7,899
"trust";2,639;-21,159;9,345
"ten";91,191;-40,017;-20,118
"reality";11,617;-2,064;-6,205
"compete";12,6;-13,841;-0,034
"version";0,877;-13,743;8,446
"politics";-84,011;9,995;55,652
"infrastructure";142,891;-56,051;-37
"deep";1,54;6,061;-17,162
"inspire";-64,66;139,212;-10,491
"develop";44,331;-17,391;-11,478
"ultimately";-0,318;-0,316;1,638
"protect";-3,542;-36,079;76,505
"powerful";-10,391;-7,335;45,762
"israel";-71,805;1,819;74,014
"eventually";35,821;-13,175;-10,076
"common";-41,453;1,753;38,593
"perspective";-9,183;4,051;2,01
"national";-28,312;-14,827;110,131
"kill";-0,038;-26,672;34,002
"entire";21,491;-18,643;-0,682
"cuz";-2,723;41,776;-25,466
"send";1,018;-7,11;2,863
"sale";75,334;-32,843;-16,786
"philosophy";-31,795;64,771;-4,107
"manage";21,596;-8,784;-5,323
"food";29,223;-3,504;-19,288
"store";71,117;-16,842;-31,004
"safe";27,812;-9,1;-8,965
"europe";-34,496;-12,994;118,461
"structure";6,819;-15,987;1,519
"incredibly";2,917;0,495;-7,79
"career";-24,175;89,04;-19,261
"vote";-100,721;-38,909;349,039
"quality";23,488;-1,226;-20,761
"correct";-3,213;-3,389;17,011
"serve";-9,099;5,279;1,193
"san";-58,38;47,477;2,58
"information";78,292;-40,419;-13,091
"scary";-0,214;-2,58;5,249
"result";1,738;-2,997;0,097
"asset";77,873;-47,363;-9,13
"vehicle";152,222;-59,63;-39,489
"special";-45,447;1,711;43,424
"anymore";-0,138;-1,141;2,555
"role";-16,22;19,862;-0,002
"essentially";21,785;-29,606;0,126
"woman";-97,084;168,766;-5,66
"full";2,669;0,743;-8,264
"drone";126,4;-51,09;-31,426
"cell";124,986;-45,416;-35,687
"shift";0,581;-0,071;-0,38
"poor";-41,632;31,021;2,645
"americans";-68,53;0,457;82,816
"critical";5,597;-6,017;-0,023
"local";-0,874;-13,287;25,62
"air";73,091;-25,935;-21,477
"truth";-58,966;63,479;0,234
"recently";-25,28;9,248;7,159
"multiple";37,512;-17,826;-7,279
"fair";-9,018;0,701;7,072
"curious";-50,599;52,263;0,375
"center";0,454;-4,589;2,316
"debate";-82,812;2,498;82,735
"room";-16,246;55,601;-10,86
"engage";-73,261;60,178;3,089
"advantage";15,494;-5,802;-4,262
"water";47,121;-11,08;-20,66
"lesson";-14,222;44,716;-7,67
"add";63,662;-36,641;-8,5
"wait";-0,639;6,766;-3,499
"finance";35,512;-6,709;-18,238
"extreme";-44,503;-17,169;154,146
"court";-105,653;-38,797;359,53
"civilization";-30,142;57,736;-2,943
"anti";-41,567;-29,012;182,167
"wave";32,377;-13,663;-7,572
"venture";40,841;-2,675;-33,846
"assume";-4,507;0,001;6,17
"regime";-97,113;-37,291;335,81
"math";19,286;0,359;-34,409
"investment";70,609;-22,768;-23,121
"fly";59,342;-24,832;-14,049
"fail";-17,012;2,632;9,862
"child";-49,077;75,782;-1,245
"late";-2,437;3,547;-0,035
"direction";-0,813;-0,685;3,872
"wake";-46,771;9,912;22,188
"speech";-113,758;-0,004;162,255
"pick";-0,646;7,226;-3,841
"mistake";-12,065;-0,355;22,767
"insurance";91,003;-36,265;-23,069
"include";-0,234;-4,573;8,367
"die";-13,242;6,186;2,645
"argument";-25,673;-0,032;38,609
"union";-57,334;-33,65;233,547
"sudden";7,074;-0,735;-4,972
"stanford";-46,789;152,718;-27,789
"francisco";-50,613;37,377;3,323
"department";-13,495;-12,584;67,385
"crisis";-5,746;-15,822;51,254
"century";-27,496;4,523;15,389
"act";-23,61;-3,607;61,316
"sector";7,494;-17,497;1,645
"individual";-0,28;-18,956;28,606
"effect";48,833;-22,647;-9,87
"difficult";6,715;-3,277;-1,245
"resource";7,074;-18,715;2,342
"fall";-9,571;-0,298;18,204
"situation";-6,867;-5,376;31,653
"short";35,905;-8,211;-16,089
"research";23,534;-6,725;-8,709
"regulatory";9,853;-46,161;13,225
"provide";42,267;-20,253;-8,087
"iran";-102,015;-20,85;287,2
"happy";-17,568;11,92;1,528
"expensive";70,769;-25,612;-20,306
"door";14,595;-1,615;-9,987
"check";-0,13;0,008;0,11
"teacher";-83,62;101,271;-0,002
"jewish";-108,307;143,18;-0,372
"tend";-13,739;-1,541;33,045
"land";5,705;-2,711;-1,107
"governor";-91,708;-0,867;153,373
"major";-2,21;-0,243;5,29
"inside";1,77;-16,717;8,133
"doctor";21,6;-8,742;-5,36
"nice";-3,265;0,266;2,519
"father";-92,373;183,585;-10,704
"dc";-71,193;-0,393;114,535
"agent";91,003;-41,175;-19,142
"nation";-46,763;-2,907;99,417
"degree";1,154;5,388;-14,379
"west";-66,627;3,062;60,819
"deliver";80,985;-31,667;-21,06
"complicate";10,963;-7,009;-1,13
"claim";59,611;-31,506;-9,524
"treat";3,515;-4,939;0,033
"negative";-0,916;10,843;-5,918
"road";31,902;-4,727;-18,94
"require";18,846;-23,376;0,007
"revolution";11,297;-8,675;-0,639
"minute";4,502;0,047;-7,59
"increase";76,675;-38,31;-13,626
"federal";-14,793;-48,34;146,54
"favorite";-11,28;58,321;-18,397
"shoot";35,721;-17,331;-6,688
"peter";-60,364;170,579;-24,3
"slow";102,799;-40,77;-26,229
"ship";56,35;-28,157;-10,012
"online";5,273;-1,26;-2,282
"fine";0,154;1,008;-2,415
"core";-0,716;8,381;-4,549
"worth";16,778;-6,768;-4,183
"vision";0,517;2,017;-5,73
"news";-19,734;42,203;-3,118
"necessarily";0,538;-3,25;1,173
"freedom";-64,091;1,462;67,214
"drop";-8,288;44,091;-14,277
"giant";61,844;-26,118;-14,448
"enterprise";47,331;-15,282;-15,477
"balance";-1,012;-23,031;40,925
"measure";6,017;-10,441;0,347
"leadership";-36,844;5,452;21,891
"disease";90,768;-32,191;-26,687
"cycle";54,436;-25,353;-10,925
"credit";7,193;-0,645;-5,36
"beautiful";-6,781;47,863;-19,418
"theory";-23,72;-13,349;94,978
"rich";-18,916;3,775;9,362
"rest";-2,153;7,676;-1,589
"path";-0,227;6,109;-4,469
"mark";-45,426;85,73;-4,127
"debt";50,789;-16,151;-16,879
"face";-24,367;28,577;0,005
"explain";-6,856;0,741;4,74
"employee";21,342;-8,144;-5,73
"deploy";79,799;-31,46;-20,525
"dad";-64,43;187,446;-28,166
"courage";-87,366;79,796;2,013
"chance";-6,721;13,398;-0,79
"russia";-45,298;-44,164;230,991
"population";14,159;-9,854;-1,138
"perfect";7,874;-3,701;-1,557
"improve";5,906;-5,862;-0,069
"weird";-3,84;1,442;1,053
"throw";1,803;-8,472;2,434
"respect";-33,079;3,507;23,056
"born";-34,515;62,567;-2,548
"wine";3,783;6,742;-26,266
"surprise";2,635;-4,298;0,102
"relate";2,879;0,258;-6,585
"harvard";-68,711;166,695;-17,222
"simple";2,863;-4,518;0,087
"practice";6,753;-0,126;-7,299
"extremely";2,62;4,858;-18,591
"budget";2,083;-29,276;17,23
"source";47,815;-22,699;-9,295
"number";12,784;-6,58;-2,15
"firm";-0,069;10,696;-10,455
"expect";16,227;-5,646;-4,879
"attention";-0,239;-0,169;1,053
"congress";-69,59;-33,818;262,85
"speed";50,789;-16,151;-16,879
"outcome";11,118;-3,336;-3,923
"obvious";-1,262;-16,641;33,135
"industrial";34,643;-27,294;-1,763
"fascinate";-20,954;17,357;0,848
"dod";49,465;-12,254;-20,788
"digital";62,496;-33,818;-9,524
"demand";61,312;-29,759;-11,473
"she_s";-57,302;126,588;-10,273
"profit";12,523;-6,186;-2,272
"found";-38,295;105,397;-14,277
"forget";-8,533;1,462;4,661
"terrible";-12,301;-0,626;25,239
"position";-1,499;-10,441;24,571
"nature";0,061;-6,901;6,526
"movement";-45,62;-1,188;84,72
"legal";-10,532;-3,109;33,249
"choose";-21,069;37,009;-1,305
"argue";-38,295;-0,044;57,419
"supply";88,606;-41,374;-17,709
"stock";80,784;-32,11;-20,55
"financial";18,417;-10,441;-2,543
"wall";-0,919;-0,102;2,207
"return";27,502;-17,208;-3,001
"john";-9,549;27,183;-3,926
"bottom";6,575;-3,49;-1,041
"blue";-3,401;-13,493;38,099
"basic";4,022;-7,206;0,279
"paper";18,215;-2,426;-11,432
"healthy";-0,646;11,438;-7,354
"town";-1,587;17,834;-9,495
"stick";-0,239;11,674;-9,755
"professor";-64,763;153,697;-15,057
"modern";-0,948;-0,719;4,31
"miss";-12,582;5,877;2,513
"hack";1,167;5,378;-14,417
"democrat";-90,033;-33,339;307,29
"complex";30,788;-10,701;-9,27
"threat";-0,436;-19,342;30,821
"rid";-7,308;-13,828;52,449
"jews";-81,915;19,683;35,297
"chip";92,475;-39,895;-20,934
"robot";82,15;-34,689;-19,195
"patient";101,373;-37,612;-28,208
"natural";5,892;-1,504;-2,414
"current";0,351;-4,981;2,944
"clean";23,537;-12,167;-3,926
"beat";-1,24;-0,954;5,672
"trouble";-5,833;-0,458;12,975
"concern";-11,279;-11,316;58,304
"wealth";-6,298;0,011;8,22
"note";-57,534;81,618;-0,614
"manager";5,34;0,027;-8,543
"limit";7,822;-10,396;0,03
"hate";-39,196;4,674;25,937
"development";27,903;-9,089;-9,038
"capitalism";-8,147;-16,099;59,905
"pro";-9,555;-6,651;41,826
"opinion";-6,057;14,017;-1,289
"inflation";48,251;-22,346;-9,775
"hospital";20,392;-10,737;-3,283
"communist";-87,292;-19,742;253,263
"post";-13,585;7,956;1,743
"mine";1,391;0,868;-5,811
"efficient";88,954;-32,52;-25,211
"context";-1,018;-6,186;15,17
"red";-37,566;-7,95;106,848
"produce";53,324;-23,367;-11,79
"dynamic";14,083;-18,248;0,03
"differently";0,615;-0,169;-0,236
"capture";-1,873;-11,649;28,358
"specific";36,218;-21,811;-4,35
