"";"";"";"";"*video=Ep_80_Leonard_Leo_Knows_How_to_Win_and_How_to_Save_Our_Country_Qh6Y43e02vYen";""
"74";"*video=This_AI_Sea_Drone_Could_Destroy_A_Submarine_nRA40EAFf-sen";"1.08607024870038";"0.00301616215177828";"1.04004841235939";"101"
"75";"*video=How_to_Invest_Like_a_Billionaire_jzUrBI8lW1cen";"1.08173082073671";"0.478152117763264";"1.03723536950021";"103"
"76";"*video=From_Entrepreneur_To_Governor_How_Hes_Changing_America_ynJWPThToV8en";"-1.38738326458669";"-0.46171072272368";"1.02753695002136";"104"
"77";"*video=Palmer_Luckey_Meet_the_Real-Life_Tony_Stark_epy8UVZilmAen";"0.774026891688655";"-0.0855069733516409";"1.02441691584793";"105"
"78";"*video=Ep_53_Joe_Gebbia_Changed_the_World_with_Airbnb_Heres_What_Hes_Building_Next_xaPInaOaT1Ien";"-0.163836696343101";"1.19702561617466";"1.01882842090275";"107"
"79";"*video=A_Conversation_with_Wall_Street_Legend__US_Commerce_Secretary_Wilbur_Ross_lyGQq2wGDswen";"-0.759703308877233";"-0.755222457758489";"1.00827794389862";"108"
"80";"*video=Bari_Weiss_Defending_Western_Civilization_and_Building_New_Institutions_SBvUo2MSplMen";"-1.54773860669481";"-0.109485696042344";"1.00795215719778";"109"
"81";"*video=Ep_69_How_a_Teenager_Set_Out_to_Rid_the_Ocean_of_Plastic_Boyan_Slat__the_Ocean_Cleanup_UNWiqq0UxN0en";"0.901615025434773";"0.0211706926854854";"1.00722540224975";"110"
"82";"*video=Andrew_Yang_Will_Change_How_You_Think_About_Politics_7AF5OKtCSUken";"-1.28435570343194";"-0.237346618405093";"1.00150533959846";"111"
"83";"*video=Ex-Bud_Light_President_The_Truth_Behind_the_Brands_Collapse_SOYWMSo_Sdwen";"-1.13622513746316";"-0.121469413365613";"1.00067834258864";"112"
"84";"*video=Ep_63_Eddie_Margain_on_Fleeing_Mexico_and_Building_Austin_FC_podbteLmuaMen";"-0.841938091268553";"0.782624190935495";"0.999174711661683";"113"
"85";"*video=The_One_Thing_AI_Will_Never_Replace_w2deeFQ3uk0en";"-0.73937026186711";"0.66666211503506";"0.999149651146234";"114"
"86";"*video=Open_AI_Chief_Outlines_His_AI_Thesis_in_9_Minutes_olN6m5mi48cen";"1.55976317125472";"-0.00620802058142874";"0.998103374626228";"115"
"87";"*video=Why_Youre_Hiring_the_Wrong_Sales_People_lSoTwMf61mAen";"1.38140372666988";"0.227913748272454";"0.997758792538801";"116"
"88";"*video=A_Conversation_with_Elad_Levy__the_Search_for_a_Missing_Israeli_Soldier_qNVmirHykzEen";"-1.53876269358079";"-0.480569498520403";"0.995960700555318";"117"
"89";"*video=Investing_in_2026_What_You_Need_to_Know_SEC_Chairman_7Cb19tOA0p4en";"0.118013927770951";"-1.18141148845606";"0.991719208315535";"118"
"90";"*video=Kimbal_Musk_Tesla_SpaceX_The_Kitchen_and_Launching_His_First_Company_with_Elon_IIkY9yZSMs4en";"-0.176799088724119";"1.19565017566197";"0.990109070197921";"119"
"91";"*video=Defense_Experts_AI_Solution_To_The_Drone_Threat_LEsO1NISV0oen";"1.88171214016421";"-0.0904367522301522";"0.988881104940909";"120"
"92";"*video=Ep_86_How_to_Teach_STEM_for_the_21st_Century_with_Dr_David_Ruth_p2jwa9iGUy8en";"0.0458725890140708";"1.2301105088427";"0.984132137263278";"121"
"93";"*video=Palmer_Luckey_Important_Development_in_AI_Weapons_J3Fs47nQkZYen";"1.16842014243093";"-0.341572278385387";"0.982121030898476";"122"
"94";"*video=Exercise_Scientist_How_AI__Miracle_Drugs_Can_Make_You_Superhuman_T_NpPPID1ecen";"0.751812148028441";"0.582470443083768";"0.976645308272818";"123"
"95";"*video=Ep_84_Sri_Ganesan_on_Freshworks_Big_Win_Building_Rocketlane__Indias_Tech_Boom_io9Gn-9gOGoen";"0.930768896469413";"0.706120498912929";"0.974646732165741";"124"
"96";"*video=Ep_51_Adm_Bill_McRaven_on_Leadership_Modernizing_the_Dept_of_Defense__Dealing_with_China_Y8UaL5sjkNEen";"-0.919313599966898";"0.395094965770307";"0.959748255731169";"125"
"97";"*video=Former_NYT_Journalist_Free_Speech_is_in_Danger_4vM2uJfN_uQen";"-1.75612587559108";"-0.71680035577084";"0.957467748825288";"127"
"98";"*video=How_Elon_Musks_SpaceX_Is_Embarrassing_The_US_Government_3pLEpO90jLoen";"0.653376605302171";"-0.00246826765067173";"0.956922682614267";"128"
"99";"*video=Charles_Koch_How_a_Love_of_Philosophy_Unlocked_Exponential_Growth_uCFcz8SESdQen";"-0.34994940158328";"0.939060301873481";"0.95608942047558";"129"
"100";"*video=Mark_Esper_Never_Underestimate_the_American_People_CJNbRSsiercen";"-2.21432727262654";"-2.53368390260849";"0.954873985476292";"130"
"101";"*video=Harvard_Economist_The_Truth_About_Police_Brutality_9sRYbrp_jCwen";"-0.230746621798379";"0.923590745506575";"0.952380464189093";"131"
"102";"*video=Hollywood_Star_Why_the_Emmys_Ignored_Charlie_Kirks_Assassination_XKX58P-PGq0en";"-1.9218870953848";"-0.501277337583904";"0.949548625943329";"132"
"103";"*video=Will_AI_Replace_Software_Engineers_Tech_CEOs_Prediction_b-RMZL0_xLken";"1.48455989548709";"-0.185957838225705";"0.947587640609426";"133"
"104";"*video=Home_Depot_Founders_Millionaire_Business_Strategy_UhsCaPGO3DEen";"-1.20601642611582";"1.06452556763879";"0.944705681332764";"134"
"105";"*video=Ep_76_Accelerate_or_Die_Guillaume_Verdon_and_the_eacc_Movement_NgUwdHGWKkAen";"0.719188996774127";"0.272285126846579";"0.943809767905454";"135"
"106";"*video=John_Chambers__Pankaj_Patel_Changed_the_World_with_Cisco_Now_Theyre_Doing_It_Again_with_Nile_VWkCcfX747wen";"0.762647226938069";"0.255289103449546";"0.94328349708102";"136"
"107";"*video=What_Investors_Need_to_Know_About_the_US_Debt_Spiral_FAuc2CMRbacen";"1.46867730002953";"-0.186137929211778";"0.941422753808914";"137"
"108";"*video=The_Trillion_Dollar_Mistake_That_Nearly_Destroyed_the_US_Economy_Q89JskIykTMen";"-0.515826433757053";"-2.30855114793923";"0.941403958422327";"138"
"109";"*video=Will_Superintelligent_AI_Destroy_Humanity_v7RJ8kbE9oUen";"1.10474543327666";"-0.330481155084458";"0.932632778015093";"140"
"110";"*video=The_Genius_Strategy_Behind_Apples_First_iPhone_mJMB7O8_GE0en";"1.86915204595479";"-0.447649082106335";"0.93028961982059";"141"
"111";"*video=6-Step_Blueprint_to_Rescue_Western_Civilization_xv3u7eVHqhUen";"-0.658021184272574";"-1.70589651756395";"0.926774882528834";"142"
"112";"*video=The_Greatest_Entrepreneur_Youve_Never_Heard_Of_DjKqgUY5CzMen";"-0.111018555160546";"0.897220424079395";"0.925014381318525";"144"
"113";"*video=How_Psychedelic_Medicine_Could_Transform_Healthcare__Why_Medical_School_Is_Broken_0uQIHrBTGeUen";"0.712285249616092";"0.0331024857700641";"0.922364231809768";"145"
"114";"*video=Exposing_a_Billion_Dollar_Fraud_Scandal_Using_Palantir_xkXRTycBpEsen";"-0.107376668919183";"-0.866308517650625";"0.916913569699559";"146"
"115";"*video=Why_the_Iryna_Zarutska_Tragedy_Was_Preventable_AOVUD_J2FMUen";"-2.10651537946087";"-0.720773383443193";"0.915879823437278";"147"
"116";"*video=Tariffs_DOGE__Fixing_America_Peter_Thiels_Skeptic_Solutions_v2q3yPwEo5wen";"-0.34903876712378";"-0.50357558363089";"0.915779581375481";"148"
"117";"*video=Ep_87_Dr_Cliff_Winston__Deregulate_Lawyers_Deregulate_Airlines__Let_Markets_Correct_Themselves_-mIhnpoCnUcen";"-0.091697734246705";"-0.937489646390521";"0.915309696710807";"149"
"118";"*video=AI_Expert_Agents_Will_Take_Over_Everything_NJ_vGrXZVTMen";"0.555727875668111";"-0.269766820465587";"0.913843656557027";"150"
"119";"*video=Economist_Vs_Billionaire_How_The_Myth_Of_Income_Inequality_Is_Dividing_America_mFhIJsrprXsen";"-1.17590749071024";"-0.0421030886097727";"0.913279794959419";"152"
"120";"*video=Scared_of_AI_This_will_terrify_you_-_Ex-Google_Physicist_g0FZT99tPi0en";"1.46758003097192";"-0.383789067614486";"0.909044567848498";"153"
